title,address,floor,fee,management_fee,deposit,gratuity,madori,menseki
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											9階",19.7万円,12000円,19.7万円,19.7万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											10階",19.8万円,11000円,19.8万円,19.8万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											6階",19.8万円,12000円,-,19.8万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											7階",19.9万円,11000円,19.9万円,19.9万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											10階",19.8万円,12000円,19.8万円,19.8万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											11階",19.9万円,11000円,19.9万円,19.9万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											12階",19.9万円,11000円,19.9万円,19.9万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											7階",19.9万円,12000円,19.9万円,19.9万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",20万円,11000円,20万円,20万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											11階",19.9万円,12000円,19.9万円,19.9万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",20万円,12000円,-,20万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											12階",20.1万円,11000円,20.1万円,20.1万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											12階",20.1万円,12000円,20.1万円,20.1万円,1LDK,38.63m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",28.6万円,14000円,28.6万円,28.6万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											9階",28.7万円,14000円,28.7万円,28.7万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											10階",28.8万円,14000円,28.8万円,28.8万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											9階",28.7万円,15000円,28.7万円,28.7万円,2LDK,59.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											9階",29.7万円,15000円,29.7万円,29.7万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											10階",29.8万円,15000円,29.8万円,29.8万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											11階",29.9万円,14000円,29.9万円,29.9万円,2LDK,59.73m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											12階",30.1万円,15000円,30.1万円,30.1万円,2LDK,59.73m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											6階",17.5万円,-,35万円,17.5万円,1LDK,41.92m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											6階",17.5万円,13000円,35万円,17.5万円,1LDK,41.92m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											6階",17.5万円,15000円,35万円,17.5万円,1LDK,41.92m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											18階",19.5万円,15000円,19.5万円,39万円,1LDK,42.4m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											5階",20万円,15000円,20万円,40万円,1SLDK,50.7m2
ＪＲ山手線 秋葉原駅 21階建 築18年,東京都千代田区神田練塀町,"
											11階",26.8万円,20000円,40.2万円,26.8万円,2LDK,63.6m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											6階",17.5万円,13000円,35万円,17.5万円,1LDK,41.92m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											6階",17.5万円,13000円,35万円,17.5万円,1LDK,41.92m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											18階",19.5万円,15000円,19.5万円,39万円,1LDK,42.4m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											5階",20万円,15000円,20万円,40万円,1LDK,50.7m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											11階",26.8万円,20000円,40.2万円,26.8万円,2LDK,63.6m2
パークタワー秋葉原,東京都千代田区神田練塀町,"
											11階",27.8万円,20000円,41.7万円,27.8万円,2LDK,63.6m2
ＪＲ中央線 水道橋駅 12階建 築13年,東京都千代田区神田三崎町３,"
											7階",15.5万円,10000円,15.5万円,15.5万円,1DK,37.95m2
ＪＲ中央線 水道橋駅 12階建 築13年,東京都千代田区神田三崎町３,"
											9階",16万円,10000円,16万円,16万円,1LDK,40.56m2
北の丸スクエア　ザ・テラス,東京都千代田区九段北１,"
											24階",38.5万円,-,115.5万円,-,1LDK,66.15m2
北の丸スクエア　ザ・テラス,東京都千代田区九段北１,"
											17階",50.5万円,-,151.5万円,-,2LDK,81.42m2
シティインデックス千代田秋葉原,東京都千代田区神田佐久間町３,"
											9階",16.2万円,10000円,16.2万円,16.2万円,1LDK,40.5m2
シティインデックス千代田秋葉原,東京都千代田区神田佐久間町３,"
											10階",17.8万円,10000円,17.8万円,17.8万円,1LDK,47.85m2
ＪＲ山手線 秋葉原駅 14階建 築7年,東京都千代田区神田佐久間町３,"
											9階",16.2万円,10000円,16.2万円,16.2万円,1LDK,40.5m2
ＪＲ山手線 秋葉原駅 14階建 築7年,東京都千代田区神田佐久間町３,"
											10階",17.8万円,10000円,17.8万円,17.8万円,1LDK,47.85m2
グルックハイム紀尾井町,東京都千代田区紀尾井町,"
											3階",19.2万円,10000円,19.2万円,38.4万円,1LDK,45.43m2
グルックハイム紀尾井町,東京都千代田区紀尾井町,"
											6階",23.5万円,10000円,23.5万円,23.5万円,1LDK,55m2
グルックハイム紀尾井町,東京都千代田区紀尾井町,"
											4階",23.8万円,10000円,23.8万円,47.6万円,1LDK,55m2
ＪＲ山手線 神田駅 13階建 築18年,東京都千代田区神田多町２,"
											5階",16万円,10000円,16万円,16万円,1LDK,32.88m2
レジディア神田,東京都千代田区神田多町２,"
											5階",16万円,10000円,16万円,16万円,1LDK,32.88m2
ＪＲ山手線 神田駅 13階建 築5年,東京都千代田区内神田１,"
											13階",17万円,10000円,17万円,17万円,1DK,31.3m2
ＪＲ山手線 神田駅 13階建 築5年,東京都千代田区内神田１,"
											5階",20.5万円,10000円,20.5万円,20.5万円,1LDK,39.97m2
ＪＲ山手線 神田駅 13階建 築5年,東京都千代田区内神田１,"
											4階",20.7万円,10000円,20.7万円,20.7万円,1LDK,39.97m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											3階",12万円,10000円,12万円,-,1K,27.62m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											4階",12万円,10000円,12万円,-,1K,27.62m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											6階",12.1万円,10000円,12.1万円,-,1K,27.62m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											10階",12.5万円,10000円,12.5万円,-,1K,27.62m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											6階",23.1万円,12000円,23.1万円,23.1万円,1LDK,45.97m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											9階",23.5万円,12000円,23.5万円,23.5万円,1LDK,45.97m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											10階",23.6万円,12000円,23.6万円,23.6万円,1LDK,45.97m2
東神田テラスレジデンス,東京都千代田区東神田１,"
											10階",23.8万円,12000円,23.8万円,23.8万円,1LDK,51.39m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											2階",18.2万円,18000円,18.2万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											3階",18.5万円,18000円,18.5万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											7階",19万円,18000円,19万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											8階",19万円,18000円,19万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											2階",19.2万円,18000円,19.2万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											3階",19.4万円,18000円,19.4万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											7階",20万円,18000円,20万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											8階",20万円,18000円,20万円,-,1LDK,38.99m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											4階",22万円,20000円,22万円,-,2LDK,45.57m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											4階",22.1万円,20000円,22.1万円,-,2LDK,45.57m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											7階",22.5万円,20000円,22.5万円,-,2LDK,45.57m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											13階",22.7万円,18000円,22.7万円,-,1LDK,38.14m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											8階",23万円,20000円,23万円,-,2LDK,45.57m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,"
											15階",23.2万円,18000円,23.2万円,-,1LDK,38.14m2
都営新宿線 小川町駅 13階建 築18年,東京都千代田区神田錦町１,"
											2階",17.9万円,10000円,17.9万円,-,1LDK,40.49m2
都営新宿線 小川町駅 13階建 築18年,東京都千代田区神田錦町１,"
											6階",18.4万円,10000円,18.4万円,-,1LDK,40.49m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",13.6万円,-,13.6万円,13.6万円,1K,27.68m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",21.5万円,-,21.5万円,21.5万円,1LDK,40.36m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",21.6万円,-,21.6万円,21.6万円,1LDK,40.36m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",21.7万円,-,21.7万円,21.7万円,1LDK,40.36m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",23.6万円,-,23.6万円,23.6万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",23.6万円,-,23.6万円,23.6万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",23.6万円,-,23.6万円,23.6万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",23.7万円,-,23.7万円,23.7万円,1K,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",23.7万円,-,23.7万円,23.7万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",23.7万円,-,23.7万円,23.7万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											4階",23.7万円,-,23.7万円,23.7万円,1LDK,45.03m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",23.8万円,-,23.8万円,23.8万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",23.8万円,-,23.8万円,23.8万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",23.8万円,-,23.8万円,23.8万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",23.8万円,-,23.8万円,23.8万円,1LDK,45.03m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											7階",23.9万円,-,23.9万円,23.9万円,1LDK,45.04m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",23.9万円,-,23.9万円,23.9万円,1LDK,45.03m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											7階",24万円,-,24万円,24万円,1LDK,45.03m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											5階",31.8万円,-,31.8万円,31.8万円,2LDK,64.46m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,"
											6階",32万円,-,32万円,32万円,2LDK,65.08m2
ＪＲ山手線 秋葉原駅 15階建 築8年,東京都千代田区岩本町２,"
											13階",16.9万円,16000円,16.9万円,33.8万円,1LDK,32.95m2
ＪＲ山手線 秋葉原駅 15階建 築8年,東京都千代田区岩本町２,"
											8階",18万円,10000円,18万円,36万円,1LDK,42.55m2
ＪＲ山手線 秋葉原駅 15階建 築8年,東京都千代田区岩本町２,"
											8階",18万円,10000円,18万円,36万円,1LDK,42.55m2
ＪＲ山手線 秋葉原駅 15階建 築8年,東京都千代田区岩本町２,"
											8階",18万円,10000円,18万円,36万円,1LDK,42.55m2
Ｎステージ秋葉原,東京都千代田区神田佐久間町３,"
											8階",9.9万円,20000円,9.9万円,-,1K,25.5m2
Ｎステージ秋葉原,東京都千代田区神田佐久間町３,"
											8階",9.9万円,20000円,9.9万円,-,1K,25.5m2
Ｎステージ秋葉原,東京都千代田区神田佐久間町３,"
											10階",12万円,20000円,12万円,-,1K,25.5m2
ＪＲ山手線 秋葉原駅 12階建 築7年,東京都千代田区神田佐久間町３,"
											8階",9.9万円,20000円,9.9万円,-,1K,25.5m2
ＪＲ山手線 秋葉原駅 12階建 築7年,東京都千代田区神田佐久間町３,"
											10階",12万円,20000円,12万円,-,1K,25.5m2
アルティオ　ドマーニ,東京都千代田区内神田３,"
											9階",15万円,12000円,-,15万円,1K,32.58m2
アルティオ　ドマーニ,東京都千代田区内神田３,"
											9階",15.1万円,12000円,-,15.1万円,1K,30.21m2
東京メトロ半蔵門線 半蔵門駅 10階建 築52年,東京都千代田区平河町２,"
											6階",10.8万円,10000円,21.6万円,10.8万円,2DK,44.62m2
東京メトロ半蔵門線 半蔵門駅 10階建 築52年,東京都千代田区平河町２,"
											6階",11万円,10000円,22万円,11万円,2DK,38.01m2
グランドガーラ神田,東京都千代田区神田多町２,"
											4階",9万円,10000円,9万円,18万円,1K,22.47m2
グランドガーラ神田,東京都千代田区神田多町２,"
											4階",9万円,10000円,9万円,18万円,1K,22.47m2
グランドガーラ神田,東京都千代田区神田多町２,"
											6階",9.9万円,7000円,9.9万円,19.8万円,1K,22.47m2
グランドガーラ神田,東京都千代田区神田多町２,"
											6階",9.9万円,7000円,9.9万円,19.8万円,1K,22.47m2
グランドガーラ神田,東京都千代田区神田多町２,"
											6階",9.9万円,7000円,9.9万円,19.8万円,1K,22.47m2
グランドガーラ神田,東京都千代田区神田多町２,"
											7階",12万円,12000円,12万円,24万円,1K,30.45m2
グランドガーラ神田,東京都千代田区神田多町２,"
											4階",12万円,15000円,12万円,12万円,1K,30.68m2
グランドガーラ神田,東京都千代田区神田多町２,"
											11階",18.5万円,-,18.5万円,37万円,1LDK,41.46m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											4階",19.8万円,-,19.8万円,19.8万円,1DK,32.53m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											9階",20万円,20000円,20万円,-,1DK,32.53m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											7階",22.5万円,-,22.5万円,22.5万円,1DK,32.53m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											3階",25万円,10000円,25万円,25万円,1LDK,41.9m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											3階",25万円,10000円,25万円,25万円,1LDK,41.9m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											3階",25万円,10000円,25万円,25万円,1LDK,41.9m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											5階",28.5万円,-,28.5万円,28.5万円,1LDK,41.9m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											8階",30.5万円,20000円,61万円,30.5万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											11階",31万円,20000円,62万円,31万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											11階",31万円,20000円,62万円,31万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											12階",31.5万円,20000円,63万円,63万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											13階",32万円,30000円,64万円,32万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											14階",36万円,-,72万円,36万円,2LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											13階",33万円,30000円,66万円,33万円,1LDK,51.75m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											8階",49万円,20000円,49万円,49万円,3LDK,71.33m2
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"
											8階",49万円,20000円,49万円,49万円,3LDK,71.33m2
パークアクシス秋葉原,東京都千代田区神田佐久間町３,"
											3階",10.7万円,8000円,10.7万円,-,1K,24.29m2
パークアクシス秋葉原,東京都千代田区神田佐久間町３,"
											3階",11.1万円,8000円,11.1万円,11.1万円,1K,24.29m2
パークアクシス秋葉原,東京都千代田区神田佐久間町３,"
											5階",11.1万円,8000円,11.1万円,-,1K,24.12m2
パークアクシス秋葉原,東京都千代田区神田佐久間町３,"
											3階",14.2万円,8000円,14.2万円,14.2万円,1DK,30.24m2
パークアクシス秋葉原,東京都千代田区神田佐久間町３,"
											8階",21.9万円,10000円,21.9万円,21.9万円,2LDK,48.74m2
OZIO大手町,東京都千代田区神田錦町１,"
											2階",17.9万円,10000円,17.9万円,-,1LDK,40.49m2
OZIO大手町,東京都千代田区神田錦町１,"
											6階",18.4万円,10000円,18.4万円,-,1LDK,40.49m2
OZIO大手町,東京都千代田区神田錦町１,"
											11階",23.5万円,10000円,23.5万円,-,1LDK,48.98m2
ＪＲ総武線 浅草橋駅 12階建 築5年,東京都千代田区東神田２,"
											2階",12.25万円,10000円,-,12.25万円,1DK,30.48m2
ＪＲ総武線 浅草橋駅 12階建 築5年,東京都千代田区東神田２,"
											6階",17万円,5000円,17万円,17万円,1LDK,40.62m2
ＪＲ総武線 浅草橋駅 12階建 築5年,東京都千代田区東神田２,"
											7階",17.6万円,10500円,-,17.6万円,1LDK,42.36m2
クレイシア秋葉原ラグゼスウィート,東京都千代田区東神田２,"
											2階",12.25万円,10000円,-,12.25万円,1DK,30.48m2
クレイシア秋葉原ラグゼスウィート,東京都千代田区東神田２,"
											2階",12.5万円,10000円,-,12.5万円,1DK,30.48m2
クレイシア秋葉原ラグゼスウィート,東京都千代田区東神田２,"
											6階",17万円,5000円,17万円,17万円,1LDK,40.62m2
クレイシア秋葉原ラグゼスウィート,東京都千代田区東神田２,"
											7階",17.6万円,10500円,-,17.6万円,1LDK,42.36m2
東京メトロ半蔵門線 神保町駅 14階建 築17年,東京都千代田区神田小川町３,"
											6階",12.6万円,10000円,12.6万円,12.6万円,1K,27.14m2
東京メトロ半蔵門線 神保町駅 14階建 築17年,東京都千代田区神田小川町３,"
											6階",12.6万円,10000円,12.6万円,12.6万円,1K,27.14m2
東京メトロ半蔵門線 神保町駅 14階建 築17年,東京都千代田区神田小川町３,"
											6階",12.6万円,10000円,12.6万円,12.6万円,1K,27.09m2
東京メトロ半蔵門線 神保町駅 14階建 築17年,東京都千代田区神田小川町３,"
											11階",12.7万円,10000円,12.7万円,12.7万円,1K,27.26m2
東京メトロ半蔵門線 神保町駅 14階建 築17年,東京都千代田区神田小川町３,"
											9階",12.7万円,10000円,-,12.7万円,1K,27.14m2
